English words/sentences,Vietnamese words/sentences
"No, please dial nine first.","Không, xin bấm số chín trước."
"If I tried to wear shoes with heels that high, I'd sprain my ankle.",Tôi mà cố đi giầy gót cao thế thì cổ chân sẽ đau lắm.
Andy must have practiced very hard.,Andy phài luyện tập rất chăm chỉ.
What's that?,Cái này là cái gì?
Can I see that one?,Hãy cho tôi xem cái kia.
Those are our teachers' cars.,Mấy chiếc xe đó là xe của thầy cô chúng ta đó.
"For all his wealth and fame, he is unhappy.","Mặc dù sở hữu nhiều tài sản và danh tiếng đến thế, nhưng anh ấy lại không hạnh phúc."
"For all his wealth and fame, he is unhappy.","Mặc dù sở hữu cho mình nhiều tài sản và danh tiếng đến thế, nhưng anh ấy lại không hạnh phúc."
"For all his wealth and fame, he is unhappy.","Mặc dù sở hữu nhiều tài sản và danh tiếng đến thế, nhưng ông ấy lại không hạnh phúc."
"For all his wealth and fame, he is unhappy.","Mặc dù sở hữu cho mình nhiều tài sản và danh tiếng đến thế, nhưng ông ấy lại không hạnh phúc."
That is his car.,Đó là xe của anh ta.
That is the shop where I used to work.,Đó là cửa hàng nơi mà tôi đã từng làm việc.
Is that the man whose wife was killed in the car accident?,Đó có phải là người đã mất vợ trong vụ tai nạn ô tô đó không?
Is that the man whose wife was killed in the car accident?,Đó có phải là người đàn ông đã mất vợ trong vụ tai nạn đó không?
That is mine.,Cái đó là của tôi.
One day the men got to his village.,"Vào một ngày nọ, những người đàn ông đó đã đến làng của anh ấy."
One day the men got to his village.,"Một ngày nọ, những người đàn ông đó đã tới làng của anh ấy."
One man's meat is another man's poison.,Cái sướng của người này là nỗi khổ của người khác.
Some kinds of birds can't fly.,Có một số loài chim không biết bay.
The scenery of the Alps left a lasting impression on me.,Phong cảnh của dãy Alps đã để lại trong tôi một ấn tượng khó phai.
I spent all the savings I had on this.,Tôi đã sử dụng toàn bộ số tiền tiết kiệm của mình để mua cái này.
"Thank you, brothers.",Cảm ơn anh bạn.
America is very large.,Nước Mỹ rất rộng lớn.
"In the U.S., you have the option, when you enter a restaurant, to sit in the smoking or non-smoking section.","ở Mỹ, khi vào nhà hàng, bạn có thể chọn ngồi ở khu vực cho phép hút thuốc hoặc không hút thuốc."
Every town in America has a library.,Thị trấn nào ở Mỹ cũng có thư viện.
"Don't worry too much, or you'll go bald.",Lo lắng nhiều quá thì sẽ bị hói đầu đấy.
"Don't worry too much, or you'll go bald.",Âu lo nhiều quá thì sẽ hói đầu đấy.
Those who are suffering from hunger in Africa need urgent help.,Những người chịu nạn đói ở châu Phi cần sự trợ giúp khẩn cấp.
She was the last person I expected to meet that day.,Cô ta là người cuối cùng mà tôi muốn gặp vào ngày hôm đó.
There was a strong wind that day.,Hôm đó có gió mạnh.
They seem to be in love with each other.,Hai người họ có vẻ như đang yêu nhau.
They serve a very good dinner at that restaurant.,"Ở nhà hàng đó, họ phục vụ bữa tối rất tốt."
We all agree in liking the teacher.,Tất cả chúng tôi đều thích giáo viên.
They are free from care and anxiety.,Những người kia không có điều gì phải lo nghĩ.
They are free from care and anxiety.,Những người đó không phải lo nghĩ về điều gì.
His house is near the subway.,Nhà anh ta ở gần đường ngầm.
"As soon as they return, I will telephone you.","Ngay sau khi họ trở về, tôi sẽ điện thoại cho anh."
That boy is running.,Cậu bé ở đằng kia đang chạy.
That clock is one minute fast.,Cái đồng hồ đó chạy nhanh hơn một phút.
The mother of that child is an announcer.,Mẹ của đứa bé kia là một phát thanh viên.
The bowl contains many kinds of candy.,Cái tô có rất nhiều loại kẹo.
How many floors does that building have?,Cái tòa nhà kia có bao nhiêu tầng?
How many floors does that building have?,Tòa nhà kia có bao nhiêu tầng vậy?
How many floors does that building have?,Tòa nhà kia bao nhiêu tầng?
Have you finished knitting that sweater?,Bạn đan xong cái áo len đó chưa?
Have you finished knitting that sweater?,Bạn đan xong cái áo len đó chưa thế?
Have you finished knitting that sweater?,Bạn đã đan xong cái áo len đó chưa vậy?
I'm sorry I misunderstood you.,Tôi xin lỗi vì đã hiểu lầm bạn.
I'm sorry I misunderstood you.,Tao xin lỗi vì đã hiểu lầm mày.
I'm sorry I misunderstood you.,Tôi xin lỗi vì đã hiểu nhầm bạn.
I'd like to enroll you as a member of our club.,Tôi muốn nhận cậu trở thành thành viên của câu lạc bộ của chúng tôi.
I was born to love you.,Anh được sinh ra là để yêu em.
Neither you nor I are mistaken.,Bạn và tôi đều không sai.
Neither you nor I are mistaken.,Cả bạn lẫn tôi đều không sai.
Are you going to school tomorrow?,Ngày mai bạn có định đến trường không?
Are you going to school tomorrow?,Mai bạn có định tới trường không?
Do you really want it?,Bạn có thực sự muốn nó không?
Do you really want it?,Bạn có thật sự muốn nó không?
Your nose is bleeding.,Mũi của mày đang chảy máu.
Your nose is bleeding.,Mũi của bạn đang chảy máu.
Your nose is bleeding.,Mũi của cậu đang chảy máu.
Are you going to invite her to the party?,Bạn có định mời cô ấy đến dự bữa tiệc không?
Are you going to invite her to the party?,Bạn có định mời cô ấy tới dự bữa tiệc không?
Do you speak Japanese?,Ông có nói tiếng Nhật không?
What time do you leave home in the morning?,Buổi sáng bạn rời khỏi nhà vào lúc mấy giờ?
Who do you want to talk to?,Bạn muốn nói chuyện với ai?
You must not invade the privacy of others.,Bạn không được xâm phạm sự riêng tư của người khác.
Were you scolded by your teacher?,Bạn bị giáo viên mắng à?
You ought to face the stark reality.,Bạn cần phải nhìn thẳng vào sự thật trần trụi.
What did you do on the weekend?,Bạn đã làm gì vào cuối tuần vậy?
Do you have a car?,Bạn có ô tô không?
Did you hear my son play the violin?,Bạn đã nghe con trai tôi chơi đàn vĩ cầm chưa?
All you have to do is follow me.,Tất cả những gì bạn phải làm là theo tôi.
You may as well come with me.,Cậu cũng có thể đi với tôi.
Carry on with your work.,Hãy tiếp tục công việc.
Carry on with your work.,Tiếp tục công việc đi.
Carry on with your work.,Hãy làm tiếp công việc đi.
Carry on with your work.,Hãy làm việc tiếp đi.
You had to come yesterday.,Bạn phải đến từ hôm qua rồi.
"You went to the park yesterday, didn't you?",Hôm qua bạn đi ra công viên đúng không nhỉ?
"You went to the park yesterday, didn't you?",Hôm qua bạn đã ra công viên có đúng không?
Do you like black cats?,Cậu có thích mèo đen không?
You must take care of the dog.,Bạn phải chăm chó đấy.
You must hurry up.,Bạn phải nhanh lên.
How many sisters do you have?,Nhà bạn có mấy chị em gái?
What time are you going to leave for London?,Mấy giờ thì bạn dự định sẽ xuất phát đến Luân Đôn?
Do you want anything to eat?,Bạn có muốn ăn gì không?
Did you ever go to Okinawa?,Bạn đã tới Okinawa chưa?
How many rackets do you have?,Mày có mấy cây vợt?
How many rackets do you have?,Tụi bây có mấy cây vợt?
How many rackets do you have?,Các bạn có bao nhiêu cây vợt?
How many rackets do you have?,Bạn có mấy cây vợt?
"You've never been to Europe, have you?",Bạn chưa đi châu Âu lần nào có đúng không?
All you have to do is press the button.,Tất cả những gì bạn phải làm là nhấn cái nút.
Do you have a lot of pens?,Cậu có nhiều bút không?
Do you usually have tea for breakfast?,Bạn thường dùng trà cho bữa sáng à?
Where did you see the woman?,Bạn thấy người phụ nữ đó ở đâu?
How did you pay for this computer?,Bạn làm cách nào để trả tiền cho cái máy tính này?
Do you watch television?,Bạn có xem TV không?
Do you watch television?,Bạn có xem ti vi không?
And you are going to raise it in three days?,Và bạn tính trồng nó trong 3 ngày?
And you are going to raise it in three days?,Và mày tính trồng nó trong 3 ngày?
You're always disagreeing with your boss.,Cậu luôn không đồng ý với sếp của cậu.
Do you like San Francisco?,Bạn có thích San Francisco không?
Do you like San Francisco?,Bạn có thích Xan Phờ-ran-xít-xcô không?
Do you play soccer?,Bạn có chơi bóng đá không?
You must not give way to those demands.,Bạn không nên đưa ra những yêu cầu đó.
You should be more careful with your money.,Bạn nên cẩn thận hơn với tiền bạc của mình.
You should arrive at school before eight.,Cậu nên đến trường trước 8 giờ.
Are you satisfied with your job?,Bạn có hài lòng với công việc của mình không?
Your story doesn't square with the facts.,Câu chuyện của bạn không ăn nhập với thực tế.
Your story doesn't square with the facts.,Câu chuyện của bạn không khớp với thực tế.
Fill in your name and address.,Điền tên và địa chỉ của bạn vào.
I didn't catch your last name.,Tôi không nghe được tên cuối của bạn.
I didn't catch your last name.,Tôi không nghe được họ của bạn.
We do need your advice.,Chúng tôi có cần lời khuyên của bạn.
What is your name?,Ông tên là gì?
What is your name?,Bà tên là gì?
Can I borrow your umbrella?,Tôi mượn cái ô của bạn có được không?
Can I borrow your umbrella?,Bạn có thể cho tôi mượn cái ô không?
You may choose any book you like.,Hãy cứ chọn quyển sách nào mà bạn thích.
What's your blood group?,Nhóm máu của ông là nhóm nào?
I want to know more about your school life.,Tôi muốn biết thêm về cuộc sống học đường của bạn.
Please don't limit your opinions just to 'Yes' or 'No'.,"Xin dừng giới hạn ý kiến của bạn ở ""Có"" hoặc ""Không""."
Do whatever you want.,Bạn thích làm gì thì làm.
Do whatever you want.,Thích làm gì thì làm.
Please do the work at your own convenience.,Hãy làm việc một cách thoải mái.
How many boys are there in your class?,Trong lớp bạn có bao nhiêu con trai?
How many boys are there in your class?,Có bao nhiêu con trai trong lớp bạn?
I have something to talk over with you.,Tôi có điều cần bàn với bạn.
I'd like to give you a piece of advice.,Tôi muốn cho bạn một lời khuyên.
Let me know the days when you can come.,Bạn hãy cho tôi biết những ngày bạn có thể đến được.
Will you show me what you bought?,Ông cho tôi xem ông đã mua gì.
I thought you were Japanese.,Tôi cứ tưởng bạn là người Nhật.
We will miss you terribly if you leave Japan.,Chúng tôi sẽ rất nhớ bạn nếu bạn rời Nhật bản.
"I will accept the work, provided that you help me.","Tôi sẽ nhận công việc, với điều kiện bạn sẽ giúp tôi."
He will come if you call him.,Anh ấy sẽ đến nếu bạn gọi.
I know what your game is.,Tao biết tỏng trò của mày rồi.
I hope that you will like it.,Hy vọng bạn thích nó.
The meeting will have broken up by the time you arrive there.,Cuộc họp sẽ giải tán trong khi bạn tới đó.
I was disappointed when I heard that you couldn't come.,Tôi đã thất vọng khi nghe tin bạn không thể tới.
Christmas is a week away.,Còn một tuần nữa là đến Giáng Sinh.
Christmas is a week away.,Còn một tuần nữa là đến Giáng Sinh rồi.
The man standing over there is the owner of the store.,Người đứng ở kia là chủ quán.
The man standing over there is the owner of the store.,Người đứng ở kia là chủ tiệm.
Do you have time the day after tomorrow?,Ngày kia bạn có thời gian không?
Don't give up. Stick with the job.,Đừng từ bỏ. Bám lấy công việc đó.
I'll bewitch him into a frog!,Tao sẽ biến nó thành ếch.
"Oh, is that the way you milk a cow?","Ồ, bạn vắt sữa bò như thế hả?"
Draw a line from A to B.,Vẽ một đường từ A đến B.
You should arrive at school before nine.,Bạn phải đến trường trước 9 giờ.
Not a few people live to be over eighty.,Có không ít người sống trên 80 tuổi.
I will call for you at seven.,Bảy giờ tôi sẽ đi đón bạn.
I'd like to reserve a single room on June 3.,Tôi muốn đặt một phòng đơn vào ngày mùng 3 tháng 6.
I'd like to reserve a single room on June 3.,Tôi muốn đặt một phòng một người vào ngày mùng 3 tháng 6.
You should take the number 5 bus.,Ông hãy lên xe buýt số 5.
Five fire engines rushed to the scene of the fire.,Có năm xe cứu hỏa đã đến hiện trường vụ cháy.
"Would you please meet me at Yaesu central gate of Tokyo Station on Monday, May 10th at 3:00 p.m.?","Bạn có thể gặp tôi vào lúc 3 giờ ngày 10 tháng 5, tại cổng trung tâm Yaesu, ga Tokyo được không?"
Fifty years ago anyone could have bought the land.,"50 năm trước, ai cũng có thể mua khu đất này."
He must be over fifty.,Ông ấy chắc phải hơn 50 tuổi.
Five hundred dollars is a small sum for him.,500 Đô-la đối với anh ấy chỉ như muối bỏ bể thôi.
"Of the three boys, the youngest is the most attractive.","Trong ba cậu bé đó, cậu bé trẻ tuổi nhất là người hấp dẫn nhất."
This meal is adequate for three.,Bữa ăn này thích hợp cho ba người.
I run to the toilet every thirty minutes.,Cứ 30 phút là tôi lại đi vệ sinh một lần.
We have not had a single drop of rain for two weeks.,Đã hai tuần rồi mà chưa có một giọt mưa nào.
I'll be back within two hours.,Mình sẽ quay lại trong vòng 2 tiếng.
We start here in two hours.,Chúng ta bắt đầu trong 2 giờ nữa.
I slept only two hours. No wonder I'm sleepy.,Tôi ngủ có 2 tiếng à. Hèn chi (bây giờ) buồn ngủ ghê.
There is no telling how far science may have progressed by the end of the twentieth century.,Chẳng nói được ngành khoa học sẽ phát triển đến mức nào khi hết thế kỉ 20 nữa.
"If we place an order for more than 20 units, would you reduce the price?","Nếu chúng tôi đặt hàng với số lượng lớn hơn 20, bạn sẽ giảm giá chứ?"
Twenty teams entered the tournament.,Hai mươi đội bước vào giải đấu.
"By 2030, twenty-one percent of its population will be over sixty-five.","Tới năm 2030, thì 21 phần trăm dân số sẽ vượt 65 tuổi."
2. Cut the daikon into long sticks.,2. Thái củ cải thành những lát dài.
2. Cut the daikon into long sticks.,2. Thái củ cải daikon thành những lát dài.
Because just one minute costs nearly four pounds.,Bởi vì chỉ một phút thôi cũng tốn gần 4 Bảng.
"There are four seasons in a year: spring, summer, fall and winter.","Một năm có bốn mùa: xuân, hạ, thu, đông."
We have more apples than we could eat in a day.,Tôi có nhiều táo đến nỗi một ngày không thể ăn hết được.
An old lady guided us through the castle.,Một người phụ nữ lớn tuổi đã giới thiệu cho chúng tôi bên trong tòa lâu đài.
"After walking for an hour, we stopped to take a rest.","Sau khi đi một tiếng đồng hồ, chúng tôi dừng lại nghỉ ngơi."
I'll call you up again in an hour.,Tôi sẽ gọi lại bạn sau một tiếng.
I had hardly walked a mile when it began to thunder.,Tôi mới chỉ đi bộ được khoảng một cây rưỡi thì trời bắt đầu có sấm sét.
I had hardly walked a mile when it began to thunder.,Tôi mới chỉ đi bộ được khoảng một dặm thì trời bắt đầu có sấm sét.
I was fined a dollar.,Tôi bị phạt một Đô-la.
"I don't have a cent, let alone a dollar.","Tôi còn không có một xu, nói gì đến một Đô-la."
We cannot live on 150000 yen a month.,Một tháng 150 nghìn Yên thì không đủ sống cho chúng tôi.
There were demonstrations against the government by Japanese university students in the 1960's.,"Vào thập niên 1960, ở Nhật Bản đã xảy ra nhiều cuộc biểu tình của sinh viên chống lại chính phủ."
"In 1943, Japan was at war.","Năm 1943, Nhật Bản đang ở trong chiến tranh."
"In 1943, Japan was at war.","Vào năm 1943, Nhật Bản đang ở trong chiến tranh."
"When I was sixteen, I played tennis for the first time.",Lần đầu tiên tôi chơi quần vợt là khi tôi 16 tuổi
I'm catching the 11:00 train.,Tôi sẽ lên chuyến tàu 11 giờ.
Ten minutes' walk brought us to the bus stop.,Mười phút đi bộ các bạn sẽ tới trạm xe buýt.
Suppose there was a worldwide oil shortage in ten years' time. What would happen to the industrialised countries?,"Hãy giả sử là sau mười năm, thế giới sẽ thiếu dầu. Vậy điều gì sẽ xảy ra với các nước công nghiệp?"
As many as ten people saw the accident.,Phải có đến mười người chứng kiến vụ tai nạn đó.
We have a lot of very fine days in October.,Tháng 10 có nhiều ngày thời tiết đẹp.
Look at the notes on page 10.,Hãy nhìn vào phần chú thích ở trang 10.
Look at the notes on page 10.,Nhìn vào phần chú giải trang 10.
I don't want to spend more than $10.,Tôi không muốn tiêu nhiều hơn 10 Đô-la.
I don't want to spend more than $10.,Tui không muốn xài nhiều hơn 10 Đô.
"No less than 1,000 people came to the party.",Có hơn một nghìn người đến tham dự bữa tiệc đó.
"""Will you play the piano tomorrow?"" ""No, I won't.""","""Ngày mai bạn có định chơi piano không?"" ""Không."""
"""How old is she?"" ""She is twelve years old.""","""Em ấy bao nhiêu tuổi?"" ""Em ấy 12 tuổi."""
"""Will you help me?"" ""I'll be glad to.""","""Bạn sẽ giúp tôi chứ?"" ""Tôi rất sẵn lòng."""
"""Here is my business card. Please call me anytime with more information,"" said the reporter.","Người phóng viên nói: ""Đây là danh thiếp của tôi. Bất cứ khi nào bạn có thông tin gì mới, xin hãy liên lạc với tôi""."
"""Here is my business card. Please call me anytime with more information,"" said the reporter.","Người phóng viên nói: ""Đây là danh thiếp của tôi. Bất cứ lúc nào bạn có thông tin gì mới, xin hãy liên lạc với tôi""."
"""My teeth are too weak for apples,"" said the boy.","Cậu bé nói: ""Răng cháu yếu đến mức còn không thể cắn nổi một quả táo."""
"""My teeth are too weak for apples,"" said the boy.","Cậu bé nói: ""Răng tớ yếu đến mức còn không thể cắn nổi một quả táo."""
"""I lost my wallet,"" lamented John.","""Tao mất ví rồi."" John than thở."
"""Will you pass me the sugar?"" ""Here you are.""","""Bạn có thể đưa tôi một ít đường không?"" ""Đây này bạn""."
"""I love you,"" she murmured and closed her eyes.","Cô ấy thì thầm câu nói ""Em yêu anh"" rồi nhắm mắt lại."
"""Mom, please can I have a biscuit?"" ""No, you can't; you shouldn't eat between meals.""","""Má, con có thể ăn một miếng bánh quy được không?"" ""Không. Con không nên ăn giữa bữa ăn."""
"""Why in the world would you do that?"" the other asked.","Người còn lại hỏi: ""Rốt cuộc là tại sao bạn lại làm chuyện đó vậy?"""
"""Why in the world would you do that?"" the other asked.","Người còn lại đã hỏi: ""Tại sao bạn lại làm điều đó thêm lần nữa vậy?"""
"""How do you do, Mr James?"" ""Fine, thanks for asking. Nice to meet you.""","""Ông hôm nay khỏe không, ông James?"" ""Khỏe, cảm ơn cậu. Rất vui được gặp."""
"""Why?"" asked the daughter, a trifle irritated.","""Tại sao?"". Cô con gái hỏi với một chút bực dọc."
"""When do you swim?"" ""I swim in July.""","""Bạn bơi khi nào?"" ""Tôi bơi vào tháng Bảy."""
I am a shy boy.,Tôi là một thằng nhóc hay mắc cỡ.
Do you want a cup of coffee?,Anh dùng thêm một cốc cà phê nhé?
Do you want a cup of coffee?,Anh dùng thêm một ly cà phê nhé?
Do you want a cup of coffee?,Chị dùng thêm một cốc cà phê nhé?
Do you want a cup of coffee?,Chị dùng thêm một ly cà phê nhé?
"Hello, how are you?","Xin chào, bạn khỏe không?"
This book is my good luck charm; I read it every five months.,"Cuốn sách đó là bùa may của tôi, nên cứ mỗi năm tháng là tôi lại đem nó ra đọc một lần."
This book is my good luck charm; I read it every five months.,"Cuốn sách đó là bùa may của tôi, nên cứ 5 tháng là tôi lại đọc nó một lần."
This book is my good luck charm; I read it every five months.,"Quyển sách đó là bùa may mắn của tôi, nên cứ năm tháng là tôi đem nó ra đọc một lần."
I'll read a book while you're sleeping.,Tôi sẽ đọc sách trong lúc bạn đang ngủ.
I went for a walk to get some air.,Tôi đã đi dạo để có chút không khí.
"In the name of the moon, we'll punish you!","Nhân danh Mặt Trăng, bọn ta sẽ trừng trị ngươi!"
"Write your name and address, please.",Xin hãy viết tên và địa chỉ của bạn.
Tom fed his leftovers to his dog.,Tom đã cho chó ăn đồ thừa của mình
Did you pay for the book?,Bạn đã trả tiền quyển sách này à?
You should obey your parents.,Bạn nên nghe lời cha mẹ.
It's up to you.,Tùy bạn.
I can't live without you.,Anh không thể sống mà không có em.
I can't live without you.,Tôi không thể sống thiếu bạn.
I can't live without you.,Anh không thể sống thiếu em.
I can't live without you.,Em không thể sống thiếu anh.
I can't live without you.,Tôi không thể sống thiếu em.
The armed forces occupied the entire territory.,Lực lượng vũ trang đã thâu tóm toàn bộ lãnh thổ.
"Unlike my brother, I cannot swim.","Không giống như anh trai mình, tôi không biết bơi."
"Unlike my brother, I cannot swim.","Khác với cậu em trai, tôi không biết bơi."
Business is improving.,Công việc kinh doanh đang cải thiện.
Forewarned is forearmed.,Phòng bệnh hơn chữa bệnh.
The police are after the man.,Cảnh sát đang đuổi theo người đàn ông.
The police began to go into the murder case.,Cảnh sát bắt đầu điều tra vụ án giết người.
The police are investigating the cause of the accident.,Cảnh sát đang điều tra nguyên nhân của vụ tai nạn.
The police accused him of theft.,Cảnh sát buộc tội anh ta ăn cướp.
The police forced a confession from her.,Cảnh sát đã bắt cô ta thú tội.
An important function of policemen is to catch thieves.,Chức năng quan trọng của cảnh sát là bắt bọn trộm.
An important function of policemen is to catch thieves.,Chức năng quan trọng của công an là bắt ăn trộm.
He went into the bank in the disguise of a guard.,Anh ta cải trang thành bảo vệ vào ngân hàng.
Thank you very much for coming to see me.,Cảm ơn bạn rất nhiều vì đã đến đón tôi.
The whale is a very large mammal which lives in the sea.,Cá voi là một loài động vật có vú khổng lồ sống ở biển.
The whale is a very large mammal which lives in the sea.,Cá voi là một loài động vật có vú khổng lồ sống ở đại dương.
There was a large audience in the theater.,Có một lượng lớn khán giả tại rạp chiếu phim.
No one is free from faults.,Không có người nào trên đời không có khuyết điểm.
You were wrong after all.,Cậu sai từ đầu rồi.
Getting married is a serious matter.,Kết hôn là một vấn đề quan trọng.
The wedding ceremony was performed in the morning.,Hôn lễ được tổ chức ở buổi sáng.
"Marriage, in peace, is this world's paradise; in strife, this life's purgatory.","Nếu quan hệ vợ chồng mà tốt đẹp, thì cuộc sống hôn nhân sẽ là thiên đường. Nếu quan hệ vợ chồng mà tồi tệ, thì cuộc sống hôn nhân sẽ trở thành địa ngục trần gian."
Blood is thicker than water.,Một giọt máu đào hơn ao nước lã.
Ken will be fifteen next year.,Năm sau Ken sẽ 15 tuổi.
It goes without saying that health is more important than wealth.,Chẳng cần phải nói cũng hiểu sức khỏe quan trọng hơn tiền bạc.
People do not know the blessing of good health until they lose it.,"Chỉ sau khi một người mất đi sức khỏe, họ mới biết nó đáng giá đến mức nào."
People do not know the blessing of good health until they lose it.,"Chỉ sau khi một người đánh mất đi sức khỏe, họ mới biết nó đáng giá đến nhường nào."
Keep the dog out.,Đừng cho chó vào trong.
Keep the dog out.,Đừng cho chó vào bên trong.
Keep the dog out.,Không được cho chó vào bên trong.
I have a pain in the shoulder.,Tôi bị đau vai.
Seeing is believing.,Trăm nghe không bằng một thấy.
A stranger spoke to me.,Một người lạ đã bắt chuyện với tôi.
What do you think has caused the present trade friction between Japan and the U.S.?,Bạn nghĩ điều gì đã gây ra mâu thuẫn trong hoạt động thương mại giữa Nhật Bản và Hoa Kỳ?
His income is now double what it was ten years ago.,Thu nhập của anh ấy đã tăng gấp đôi so với 10 năm trước.
There is no use trying to excuse yourself.,Có bào chữa thì cũng vô dụng thôi.
There is no use trying to excuse yourself.,Có bào chữa thì cũng chẳng được gì đâu.
It's easier said than done.,Nói thì dễ làm mới khó.
Language is one of man's most important inventions.,Ngôn ngữ là một trong những phát minh quan trọng nhất của loài người.
Replace the old tires with new ones.,Hãy thay lốp cũ bằng lốp mới đi.
It's an old piano.,Đó là một chiếc đàn piano cũ.
Be kind enough to shut the door.,Làm ơn hãy đóng cửa.
Meet me at the lobby of the Imperial Hotel at 6:30 p.m.,Gặp tôi tại hành lang của khách sạn Hoàng Gia vào lúc 6:30 tối.
I'll come to pick it up later.,Tôi sẽ đi lấy nó sau.
I'll let you know later.,Tôi sẽ báo cho bạn sau.
I'll let you know later.,Tao sẽ báo cho mày sau.
I heard my name called from behind.,tôi nghe thấy tên tôi được gọi ở phía sau.
"Talking of traffic accidents, I saw one last year.",Nếu nói về tai nạn giao thông thì năm ngoái tôi có thấy một vụ.
Time flies like an arrow.,Thời gian trôi nhanh như tên bắn.
Time flies like an arrow.,Thời gian trôi nhanh như chó chạy ngoài đồng.
It's not polite to speak with your mouth full.,Nói trong lúc mồm đầy thức ăn là một việc không lịch sự.
Open your mouth wide.,Hãy há to miệng ra.
Please stand face to face.,Hãy đứng mặt đối mặt.
Do what you like.,Bạn thích làm gì thì làm.
Do what you like.,Thích làm gì thì làm.
Suit yourself.,Bạn thích làm gì thì làm.
Suit yourself.,Thích làm gì thì làm.
Strike while the iron is hot.,Việc hôm nay chớ để ngày mai.
"Fortunately, the weather was good.","May mắn thay, thời tiết rất tốt."
"Luckily, I won first prize.","Thật may mắn, tôi đã chiến thắng giải nhất."
The school rules require students to wear school uniforms.,Nội quy nhà trường bắt buộc các học sinh mặc đồng phục trường.
The schoolyard was very small.,Sân trường rất nhỏ.
One man's medicine is another man's poison.,Cái sướng cho người này là cái khổ cho người khác.
A red and white flag was flying in the wind.,Lá cờ đỏ trắng đang bay trong gió.
The very thought is abhorrent to me.,Chỉ nghĩ đến nó thôi là tôi đã thấy đáng sợ rồi.
Won't you go?,Sao cậu chưa đi đi?
Actions speak louder than words.,Hành động quan trọng hơn lời nói.
The speaker cleared his throat.,Diễn giả tằng hắng cổ.
Do you keep in contact with your high school classmates?,Bạn có giữ liên lạc với các bạn cùng lớp cấp ba không?
One must practice every day in order to become a world-class athlete.,Người ta phải thực hành / tập luyện mỗi ngày để trở thành một vận động viên đẳng cấp thế giới.
"Now, Tom depends on his parents very much.","Hiện tại, Tom phụ thuộc vào bố mẹ của anh ấy rất nhiều."
You must not do it now.,Bạn không được làm điều đó bây giờ.
I'm satisfied with my current income.,Tôi thỏa mãn với thu nhập hiện tại của tôi.
I'm satisfied with my current income.,Tôi cảm thấy thỏa mãn với thu nhập hiện tại của bản thân.
"I'm at work now, so I'll call you later.","Bây giờ tôi đang làm việc, nên là tôi sẽ gọi cho bạn sau."
No one has ever been able to solve this problem.,"Cho đến bây giờ, vẫn chưa có một ai có thể giải quyết được vấn đề này."
No one has ever been able to solve this problem.,"Cho đến bây giờ, vẫn chưa có một ai có thể giải được câu hỏi này."
It was now a race against time.,Bây giờ là cuộc đua với thời gian.
I feel like crying now.,Bây giờ tôi thấy muốn khóc.
I feel like crying now.,Bây giờ tôi cảm thấy muốn khóc.
We've had a lot of rain this month.,Trời mưa rất nhiều trong tháng này.
Now I understand that my mother was only trying to be polite in public.,Giờ tôi đã hiểu rằng mẹ tôi chỉ cố tỏ ra lịch sự ở những nơi đông người.
I have been very busy this week.,Tuần này tôi rất bận.
I have been very busy this week.,Tuần này tôi đã rất bận rộn.
"If I had eaten breakfast this morning, I would not be hungry now.","Nếu tôi có ăn sáng hồi sáng này, giờ thì tôi đã không đói."
It has been raining on and off since this morning.,"Từ sáng đến giờ, trời cứ mưa rồi tạnh."
It has been raining on and off since this morning.,"Từ sáng tới giờ, trời cứ mưa lại tạnh."
It has been raining on and off since this morning.,Trời cứ mưa rồi tạnh từ sáng tới giờ.
You should take an umbrella with you this morning.,Ngươi nên đem theo dù vào sáng nay.
Did you feed the dog this morning?,Sáng nay bạn cho chó ăn chưa?
My car broke down this morning and won't be repaired until Friday.,Ô tô của tôi đã bị hỏng sáng nay và sẽ không được sửa xong trước thứ sáu.
Are you busy today?,Hôm nay ban có rãnh không?
I have a lot of assignments to do today.,Hôm nay tôi có nhiều bài tập phải làm.
"Today, paper is used in quantity every day.","Ngày nay, giấy được dùng nhiều mỗi ngày."
Nowadays more and more people prefer country life to city life.,"Ngày nay, ngày càng có nhiều người trở nên thích cuộc sống ở nông thôn hơn là cuộc sống ở thành phố."
Would you like to tea with us this afternoon?,Bạn có muốn thưởng thức trà với chúng tôi chiều nay không?
I don't think it will rain this afternoon.,Tôi nghĩ chiều nay trời không mưa đâu.
I don't think it will rain this afternoon.,Tôi nghĩ là chiều nay trời sẽ không mưa.
I don't think it will rain this afternoon.,Tôi nghĩ chiều hôm nay trời sẽ không mưa.
You won't find much news in today's newspaper.,Bạn không thể tìm thấy tin tức gì nhiều trong báo ngày hôm nay.
I've not read today's paper yet.,Tôi vẫn chưa đọc báo của ngày hôm nay.
Let's stop here.,Hôm nay chúng ta kết thúc ở đây.
It is pretty warm today.,Hôm nay trời khá ấm.
I had a very good time today.,Hôm nay tôi rất vui.
You had better take an umbrella with you today.,Hôm nay bạn nên mang ô theo.
I won't work overtime today.,Hôm nay tôi định sẽ không làm thêm giờ.
There is no wind today.,Hôm nay chẳng có gió.
There is no wind today.,Không có gió hôm nay.
There is no wind today.,Chẳng có gió hôm nay.
There is no wind today.,Hôm nay đéo có gió.
It's really cold today.,Hôm nay lạnh thật đấy!
It's really cold today.,Hôm nay lạnh thực sự!
